,FECHA,HORA,PLACA_DETECTADA,PLACA_CORREGIDA,ESTADO,MOTIVO DE RECHAZO
0,9/10/2020,6:10:19,DDA27C,DOA27C,Aprobado,
1,9/10/2020,6:16:57,ONU59D,QNU59D,Aprobado,
2,9/10/2020,6:18:39,VCL34C,VCI34C,Aprobado,
3,9/10/2020,6:25:51,LQM94E,LQM94E,Aprobado,
4,9/10/2020,6:25:51,LQM94E,LQM94E,Aprobado,
5,9/10/2020,6:25:54,BJL525,WSW30W,Aprobado,
6,9/10/2020,6:26:49,MMT52B,MMT52B,Aprobado,
7,9/10/2020,6:27:36,DBI89F,DBI89F,Aprobado,
8,9/10/2020,6:27:45,OOA97D,OQA97D,Aprobado,
9,9/10/2020,6:29:46,RKH12A,RKH12A,Aprobado,
10,9/10/2020,6:29:54,MMT84B,MMT84B,Aprobado,
11,9/10/2020,6:34:09,TOR55C,TQR55C,Aprobado,
12,9/10/2020,6:34:15,KHM46D,,Rechazado,CAPTURA DE IMAGEN A DIFERENTE VEHﾍCULO
13,9/10/2020,6:34:20,POH56C,PQH56C,Aprobado,
14,9/10/2020,6:34:50,MCR49B,MCR49B,Aprobado,
15,9/10/2020,6:42:53,EKG707,EKG707,Aprobado,
16,9/10/2020,6:43:24,IOH07C,IOH07C,Aprobado,
17,9/10/2020,6:47:28,HPH051,HPH05,Aprobado,
18,9/10/2020,6:53:25,KVM55B,KVM55B,Aprobado,
19,9/10/2020,6:53:33,HOC59E,HQC59E,Aprobado,
20,9/10/2020,6:53:37,RDC60D,RDC60D,Aprobado,
21,9/10/2020,6:55:39,FUR49B,FUR49B,Aprobado,
22,9/10/2020,7:00:05,FRF38E,FRF38E,Aprobado,
23,9/10/2020,7:08:39,MLF73B,MLF73B,Aprobado,
24,9/10/2020,7:08:51,DGM15B,OGM15B,Aprobado,
25,9/10/2020,7:10:54,GDL84C,GDI84C,Aprobado,
26,9/10/2020,7:17:33,OYO52C,QYO52C,Aprobado,
27,9/10/2020,7:17:43,KFY496,KFY496,Aprobado,
28,9/10/2020,7:19:09,CIB43B,CIB43B,Aprobado,
29,9/10/2020,7:24:03,DUY92Y,DOY92Y,Aprobado,
30,9/10/2020,7:24:14,EWI086,EWI086,Aprobado,
31,9/10/2020,7:25:43,GDN79E,GON79E,Aprobado,
32,9/10/2020,7:25:58,DOK32E,DQK32E,Aprobado,
33,9/10/2020,7:26:29,FDR74E,EDR74E,Aprobado,
34,9/10/2020,7:28:41,TMU956,TMU956,Aprobado,
35,9/10/2020,7:41:57,NPV75D,NPV95D,Aprobado,
36,9/10/2020,7:43:40,SOR30D,SQR30D,Aprobado,
37,9/10/2020,7:48:15,DSE695,DSE695,Aprobado,
38,9/10/2020,7:53:13,LBB48B,LBB48B,Aprobado,
39,9/10/2020,7:54:47,PDP92B,PDP92B,Aprobado,
40,9/10/2020,7:56:49,CYZ311,CYZ311,Aprobado,
41,9/10/2020,7:58:35,GLW56F,GLW56F,Aprobado,
42,9/10/2020,8:01:59,ADV64F,AOV64F,Aprobado,
43,9/10/2020,8:05:26,OIU44B,DIU44B,Aprobado,
44,9/10/2020,8:11:36,TOF68E,TQV68V,Aprobado,
45,9/10/2020,8:11:52,JOE43D,JDE43D,Aprobado,
46,9/10/2020,8:12:00,MDL385,MDL385,Aprobado,
47,9/10/2020,8:16:19,TFP193,TEP193,Aprobado,
48,9/10/2020,8:18:11,GLU43U,GLU43U,Aprobado,
49,9/10/2020,8:18:16,OCQ65B,QCQ65B,Aprobado,
50,9/10/2020,8:24:44,MOD647,MOD147,Aprobado,
51,9/10/2020,8:27:09,UZZ504,UZZ50Z,Aprobado,
52,9/10/2020,8:31:15,OIZ103,QIZ103,Aprobado,
53,9/10/2020,8:35:41,EWI086,EWI086,Aprobado,
54,9/10/2020,8:38:05,DJI265,DJI265,Aprobado,
55,9/10/2020,8:40:24,SOQ89D,SQQ89D,Aprobado,
56,9/10/2020,8:44:07,AEL73D,AEI73D,Aprobado,
57,9/10/2020,8:46:37,TTN235,TTN235,Aprobado,
58,9/10/2020,8:47:20,WUO08A,WUO08A,Aprobado,
59,9/10/2020,8:52:51,EKF27C,EKF27C,Aprobado,
60,9/10/2020,8:53:01,UHZ81C,DHZ81C,Aprobado,
61,9/10/2020,8:54:51,CQW71F,CQW71,Aprobado,
62,9/10/2020,8:55:07,SMI18A,SMI18A,Aprobado,
63,9/10/2020,8:58:34,CJE02B,CJE02B,Aprobado,
64,9/10/2020,9:00:41,BDB885,BDB885,Aprobado,
65,9/10/2020,9:03:33,LOA54E,LQA54E,Aprobado,
66,9/10/2020,9:03:38,IOH08B,IQH08B,Aprobado,
67,9/10/2020,9:05:40,STT46E,STT46E,Aprobado,
68,9/10/2020,9:06:28,OMU04D,QMU04D,Aprobado,
69,9/10/2020,9:08:03,JFF71D,JFF71D,Aprobado,
70,9/10/2020,9:08:08,OVX52E,QVX52E,Aprobado,
71,9/10/2020,9:14:11,SSV556,SSV55V,Aprobado,
72,9/10/2020,9:16:34,SOO56D,SQO56D,Aprobado,
73,9/10/2020,9:16:42,RNR06A,RNR06A,Aprobado,
74,9/10/2020,9:23:38,OZZ650,QZZ650,Aprobado,
75,9/10/2020,9:28:42,QBE53D,QBE53D,Aprobado,
76,9/10/2020,9:40:29,OLF89D,QLF89D,Aprobado,
77,9/10/2020,9:42:59,BDM175,BDM175,Aprobado,
78,9/10/2020,9:44:57,HMT014,HMT014,Aprobado,
79,9/10/2020,9:47:05,ORR17D,ORR17D,Aprobado,
80,9/10/2020,9:47:26,AUI303,AUI303,Aprobado,
81,9/10/2020,9:49:33,OAS526,QAS526,Aprobado,
82,9/10/2020,9:51:14,UXU29E,UXU29E,Aprobado,
83,9/10/2020,9:52:28,EDD40B,EDD40B,Aprobado,
84,9/10/2020,9:53:34,UGO892,UGO892,Aprobado,
85,9/10/2020,9:58:14,DSD83D,DSD83D,Aprobado,
86,9/10/2020,10:02:04,BOS84F,BQS84F,Aprobado,
87,9/10/2020,10:02:34,OMO80D,QMO80D,Aprobado,
88,9/10/2020,10:10:41,MGW04E,MGL04E,Aprobado,
89,9/10/2020,10:13:01,FHL79D,FHL79D,Aprobado,
90,9/10/2020,10:14:24,RQP75B,RQU75B,Aprobado,
91,9/10/2020,10:15:36,TJY69C,TJY69C,Aprobado,
92,9/10/2020,10:19:24,BOQ52F,BQQ52F,Aprobado,
93,9/10/2020,10:19:57,EWR111,EWR111,Aprobado,
94,9/10/2020,10:21:33,UYU92E,UYU92E,Aprobado,
95,9/10/2020,10:23:52,LFW910,LEW910,Aprobado,
96,9/10/2020,10:25:01,ZOB31E,ZQB31E,Aprobado,
97,9/10/2020,10:30:16,IRU22E,DRU22E,Aprobado,
98,9/10/2020,10:30:22,OWT03B,QWT03B,Aprobado,
99,9/10/2020,10:30:52,EJP248,EJP24B,Aprobado,
100,9/10/2020,10:32:39,VJR31D,VJR31D,Aprobado,
101,9/10/2020,10:34:55,BOC47E,BQC47E,Aprobado,
102,9/10/2020,10:35:14,IOP21B,LUY809,Aprobado,
103,9/10/2020,10:37:21,TRX209,TRX209,Aprobado,
104,9/10/2020,10:41:08,ZMW90C,ZML90C,Aprobado,
105,9/10/2020,10:44:32,RKM19A,RKM19A,Rechazado,VEHﾍCULO FUERA DEL CAMPO DE VISIBILIDAD
106,9/10/2020,10:47:44,IBI80C,IBI80C,Aprobado,
107,9/10/2020,10:48:53,FUX63E,FUX63B,Aprobado,
108,9/10/2020,10:51:52,WTL50C,WTI50C,Aprobado,
109,9/10/2020,10:52:12,HZH162,HZH162,Rechazado,CAPTURA DE IMAGEN A DIFERENTE VEHﾍCULO
