,FECHA,HORA,PLACA_DETECTADA,PLACA_CORREGIDA,ESTADO,MOTIVO DE RECHAZO
0,9/10/2020,2:05:58,NOPLACA,,Rechazado,PLACA CUBIERTA
1,9/10/2020,2:17:34,RGL071,RGL071,Aprobado,
2,9/10/2020,2:36:32,NOPLACA,,Rechazado,PLACA CUBIERTA
3,9/10/2020,2:53:24,NOPLACA,,Rechazado,INTERFERENCIA FÍSICA
4,9/10/2020,4:33:22,DAH44F,DAH44F,Aprobado,
5,9/10/2020,5:07:39,RHI82C,RHI82C,Aprobado,
6,9/10/2020,5:24:45,NOPLACA,JXT98E,Aprobado,
7,9/10/2020,5:31:15,KDD32B,KDD32B,Aprobado,
8,9/10/2020,5:33:22,DSQ64E,DSQ64E,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
9,9/10/2020,5:37:36,HZG08F,HZG08F,Aprobado,
10,9/10/2020,5:37:48,NOPLACA,KRT40C,Aprobado,
11,9/10/2020,5:39:03,OMO789,OMO789,Aprobado,
12,9/10/2020,5:59:08,CJT14B,CJT14B,Aprobado,
13,9/10/2020,5:59:38,ZMC88C,ZMC88C,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
14,9/10/2020,6:01:24,WDX418,WDX418,Aprobado,
15,9/10/2020,6:03:12,LTT26F,LTT26F,Aprobado,
16,9/10/2020,6:29:26,PTD322,DTD322,Aprobado,
17,9/10/2020,6:40:08,DCD965,DCD965,Aprobado,
18,9/10/2020,6:42:25,ESK235,ESK235,Aprobado,
19,9/10/2020,6:59:56,NOPLACA,,Rechazado,PLACA CUBIERTA
20,9/10/2020,7:30:52,VHL40C,VHL40C,Aprobado,
21,9/10/2020,7:39:42,VTA05D,VTA05D,Aprobado,
22,9/10/2020,7:41:24,MPR72E,MPR72E,Aprobado,
23,9/10/2020,7:49:18,SCC009,SCC009,Aprobado,
24,9/10/2020,7:52:23,RDD31D,RDD31D,Aprobado,
25,9/10/2020,7:55:14,NOPLACA,,Rechazado,PLACA CUBIERTA
26,9/10/2020,7:56:04,NOPLACA,,Rechazado,PLACA CUBIERTA
27,9/10/2020,8:51:58,JWH93E,JWH93E,Aprobado,
28,9/10/2020,9:03:32,LTX83F,LTX83F,Aprobado,
29,9/10/2020,9:14:44,XJD27E,XJD27E,Aprobado,
30,9/10/2020,9:25:03,EOP206,EOP206,Aprobado,
31,9/10/2020,9:35:36,MSG542,MSG542,Aprobado,
32,9/10/2020,9:39:53,IOH733,IOH733,Aprobado,
33,9/10/2020,9:40:32,JCL378,JCL378,Aprobado,
34,9/10/2020,9:54:07,GDD564,GDD564,Aprobado,
35,9/10/2020,9:54:56,BUX93E,BUX93E,Aprobado,
36,9/10/2020,10:02:11,FAH249,FAH249,Aprobado,
37,9/10/2020,10:02:32,MLX878,MLX878,Aprobado,
38,9/10/2020,10:41:02,NOPLACA,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
39,9/10/2020,11:00:26,FAL075,FAL075,Aprobado,
40,9/10/2020,11:02:19,KHR743,KHR743,Aprobado,
41,9/10/2020,11:06:57,OMS12E,OMS12E,Aprobado,
42,9/10/2020,11:15:02,IAH846,IAH846,Aprobado,
43,9/10/2020,11:25:59,MAM048,MAM048,Aprobado,
44,9/10/2020,11:32:31,TJB441,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
45,9/10/2020,11:34:59,NOPLACA,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
46,9/10/2020,11:38:02,EHM193,EHM193,Aprobado,
47,9/10/2020,11:44:01,KBH939,KBH939,Aprobado,
48,9/10/2020,12:05:25,NOPLACA,DHZ45F,Aprobado,
49,9/10/2020,12:19:16,SNB047,SNB047,Aprobado,
50,9/10/2020,12:26:33,JOI846,JOI846,Aprobado,
51,9/10/2020,12:27:45,LAY289,LAY289,Aprobado,
52,9/10/2020,12:47:25,GHE126,GHE126,Aprobado,
53,9/10/2020,12:53:12,OTY63E,QTY63E,Aprobado,
54,9/10/2020,12:56:54,PDF74E,PDF74E,Aprobado,
55,9/10/2020,1:01:08,ZTF24E,ZTF24E,Aprobado,
56,9/10/2020,1:01:56,IGP60F,IGP60F,Aprobado,
57,9/10/2020,1:16:18,RZU43E,RZU43E,Aprobado,
58,9/10/2020,1:17:07,FAH996,FAW996,Aprobado,
59,9/10/2020,1:18:41,NOPLACA,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
60,9/10/2020,1:22:41,GIU16C,GIU16C,Aprobado,
61,9/10/2020,1:23:08,WLA383,WLA383,Aprobado,
62,9/10/2020,1:27:51,XIH39D,XIH39D,Aprobado,
63,9/10/2020,1:29:18,MMM532,MMM532,Aprobado,
64,9/10/2020,1:31:25,KPM01F,KPM01F,Aprobado,
65,9/10/2020,1:38:15,CPF100,CPF100,Aprobado,
66,9/10/2020,1:40:50,FAH873,FAH873,Aprobado,
67,9/10/2020,2:06:10,DLE866,DLE866,Aprobado,
68,9/10/2020,2:21:29,NOPLACA,,Rechazado,PLACA CUBIERTA
69,9/10/2020,2:21:56,MOR79E,MOR79E,Aprobado,
70,9/10/2020,2:21:57,NOPLACA,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
71,9/10/2020,2:22:09,KDC55F,KDC55F,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
72,9/10/2020,2:40:08,GMP236,GMP236,Aprobado,
73,9/10/2020,2:45:49,KMI619,KMI619,Aprobado,
74,9/10/2020,2:47:44,RQP44B,RQP44B,Aprobado,
75,9/10/2020,3:05:11,EHD17B,EHD17B,Aprobado,
