,FECHA,HORA,PLACA_DETECTADA,PLACA_CORREGIDA,ESTADO,MOTIVO DE RECHAZO
76,9/10/2020,3:05:36,NOPLACA,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
77,9/10/2020,3:13:21,MVH031,MVH031,Aprobado,
78,9/10/2020,3:13:38,NOPLACA,,Rechazado,PLACA CUBIERTA
79,9/10/2020,3:13:51,HWV51F,HWV51F,Aprobado,
80,9/10/2020,3:31:59,EJO85B,EJO85B,Aprobado,
81,9/10/2020,3:33:24,GHA075,GHA075,Aprobado,
82,9/10/2020,3:41:57,DJO972,DJO972,Aprobado,
83,9/10/2020,3:43:43,MEM355,MEM355,Aprobado,
84,9/10/2020,3:46:45,XDU76C,XDU76C,Aprobado,
85,9/10/2020,3:54:26,RUV56C,RUV56C,Aprobado,
86,9/10/2020,3:58:54,HAL075,HAL075,Aprobado,
87,9/10/2020,4:03:14,DEE569,DEE569,Aprobado,
88,9/10/2020,4:03:16,MAB537,MAB537,Aprobado,
89,9/10/2020,4:07:46,GEH846,GEH846,Aprobado,
90,9/10/2020,4:09:20,NOPLACA,,Rechazado,PLACA CUBIERTA
91,9/10/2020,4:20:34,IYR302,IYR802,Aprobado,
92,9/10/2020,4:23:21,PQQ09B,PQQ09B,Aprobado,
93,9/10/2020,4:25:00,FAR491,FAR491,Aprobado,
94,9/10/2020,4:38:31,YZN65C,YZN65C,Aprobado,
95,9/10/2020,4:44:22,DFR995,DFR995,Aprobado,
96,9/10/2020,4:53:44,IDE722,IOE722,Aprobado,
97,9/10/2020,4:59:31,EWT71F,EWT71F,Aprobado,
98,9/10/2020,5:02:33,PJP48E,PJP48E,Aprobado,
99,9/10/2020,5:15:19,DBN53F,DBN53F,Aprobado,
100,9/10/2020,5:15:23,NOPLACA,,Rechazado,PLACA CUBIERTA
101,9/10/2020,5:28:28,REK68D,REK68D,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
102,9/10/2020,5:41:36,UYD80A,UYD80A,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
103,9/10/2020,5:49:31,LWG09B,LWG09B,Aprobado,
104,9/10/2020,5:57:59,GTK70C,GTK70C,Aprobado,
105,9/10/2020,6:05:25,NOPLACA,KEI38D,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
106,9/10/2020,6:50:55,NOPLACA,,Rechazado,PLACA ILEGIBLE
107,9/10/2020,8:13:03,RHB76D,RHB76D,Aprobado,
108,9/10/2020,8:33:06,XUU17C,XEU17C,Aprobado,
109,9/10/2020,8:34:39,JXR70E,JXR70E,Aprobado,
110,9/10/2020,8:40:51,VNR88D,VNR88D,Aprobado,
111,9/10/2020,9:18:41,NOPLACA,VMX04A,Aprobado,
112,9/10/2020,9:27:26,CMY12F,CMY12F,Aprobado,
113,9/10/2020,9:52:33,HVU54U,HVU54U,Aprobado,
114,9/10/2020,10:23:45,NOPLACA,,Rechazado,PLACA CUBIERTA
115,9/10/2020,10:40:56,FUK174,FUK174,Aprobado,
116,9/10/2020,10:53:23,NOPLACA,,,
117,9/10/2020,10:57:33,NOPLACA,,,
118,9/10/2020,11:01:17,ELN695,ELN695,Aprobado,
119,9/10/2020,11:02:39,VCM88C,VCM88C,Aprobado,
120,9/10/2020,11:13:11,NOPLACA,VCM88C,Rechazado,PLACA CUBIERTA
121,9/10/2020,11:13:32,WMK302,WMK302,Aprobado,
122,9/10/2020,11:39:18,FCM687,FCM687,Aprobado,
123,9/10/2020,11:55:26,NOPLACA,,Rechazado,PLACA CUBIERTA
124,10/10/2020,12:13:10,NOPLACA,KLR92D,Aprobado,
125,10/10/2020,12:51:17,MTC122,MTC122,Aprobado,
126,10/10/2020,1:10:29,JOH344,JOH344,Aprobado,
127,10/10/2020,1:15:03,TPF363,TPF363,Aprobado,
128,10/10/2020,1:39:26,BXI804,BXI804,Aprobado,
129,10/10/2020,2:36:23,NOPLACA,,Rechazado,PLACA CUBIERTA
130,10/10/2020,3:25:38,NOPLACA,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
131,10/10/2020,3:41:15,TSS448,TSS448,Aprobado,
132,10/10/2020,4:21:13,NOPLACA,,Rechazado,PLACA CUBIERTA
133,10/10/2020,4:46:59,NOPLACA,,Rechazado,PLACA CUBIERTA
134,10/10/2020,4:57:53,NZF17C,NZF17C,Aprobado,
135,10/10/2020,5:07:13,VES40C,VES40C,Aprobado,
136,10/10/2020,5:13:11,NOPLACA,BWF25E,Aprobado,
137,10/10/2020,5:23:24,NOPLACA,,Rechazado,PLACA CUBIERTA
138,10/10/2020,5:27:04,LHH19F,LHH19F,Aprobado,
139,10/10/2020,5:41:47,TSU693,TSU693,Aprobado,
140,10/10/2020,5:55:19,HVF13F,HVF13F,Aprobado,
141,10/10/2020,6:08:24,VNW77E,VNW77E,Aprobado,
142,10/10/2020,6:23:55,NOPLACA,,Rechazado,PLACA CUBIERTA
143,10/10/2020,6:45:57,KYD69E,KYD69E,Aprobado,
144,10/10/2020,6:55:19,NOPLACA,,Rechazado,PLACA CUBIERTA
145,10/10/2020,6:59:20,RTO79D,RTO79D,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
146,10/10/2020,7:04:59,WMI372,WMI372,Aprobado,
147,10/10/2020,7:18:14,NOPLACA,,Rechazado,VEHÍCULO SIN PLACA
148,10/10/2020,7:37:06,NOPLACA,,Rechazado,INTERFERENCIA FÍSICA
149,10/10/2020,7:44:01,VSD96E,VSD96E,Aprobado,
150,10/10/2020,7:51:20,SSS89C,SSS89C,Aprobado,
151,10/10/2020,7:54:46,QRA50D,QNA50D,Aprobado,
152,10/10/2020,8:01:10,QCS12D,QCS12D,Aprobado,
153,10/10/2020,8:11:35,UMU831,UMU83,Aprobado,
154,10/10/2020,8:29:44,FAO213,FAO213,Aprobado,
155,10/10/2020,8:40:19,FWP837,FWP837,Aprobado,
156,10/10/2020,8:56:24,YKY309,YKY309,Aprobado,
157,10/10/2020,9:00:08,NOPLACA,,,
158,10/10/2020,9:00:24,MXB279,MXB279,Aprobado,
159,10/10/2020,9:34:11,NOPLACA,VUO90D,Aprobado,
160,10/10/2020,9:45:11,HAO942,HAO942,Aprobado,
161,10/10/2020,10:09:24,SJC12E,SJC12E,Aprobado,
162,10/10/2020,10:19:21,IWI62B,IWI62B,Aprobado,
163,10/10/2020,10:28:25,JKO72D,JKO72D,Aprobado,
164,10/10/2020,10:38:31,IUZ149,IUZ149,Aprobado,
165,10/10/2020,10:42:45,KBF678,KBF678,Aprobado,
166,10/10/2020,10:42:50,KAM802,KAM802,Aprobado,
167,10/10/2020,10:48:34,DNQ51D,DNQ51D,Aprobado,
168,10/10/2020,10:49:28,STE875,STE875,Aprobado,
169,10/10/2020,10:51:33,EOH684,EOH684,Aprobado,
170,10/10/2020,10:54:24,MLI220,MLI220,Aprobado,
171,10/10/2020,11:11:03,MSI608,MSI608,Aprobado,
172,10/10/2020,11:11:07,JOM954,JOM954,Aprobado,
173,10/10/2020,11:20:14,EHP053,EHP053,Aprobado,
174,10/10/2020,11:26:08,RGR68E,RGR68E,Aprobado,
175,10/10/2020,11:32:52,MLI913,MLI913,Aprobado,
176,10/10/2020,11:37:43,EGA208,EGA208,Aprobado,
177,10/10/2020,11:57:59,KQT26F,KQT26F,Aprobado,
178,10/10/2020,12:02:14,TGO807,TGO807,Aprobado,
179,10/10/2020,12:03:29,KFV444,KFV444,Aprobado,
180,10/10/2020,12:07:58,EFD077,EFD077,Aprobado,
181,10/10/2020,12:18:17,CSZ268,CSZ268,Aprobado,
182,10/10/2020,12:20:25,NOPLACA,IQW36B,Aprobado,
183,10/10/2020,12:34:07,NOPLACA,,Rechazado,PLACA CUBIERTA
184,10/10/2020,12:34:47,UEM013,UEM013,Aprobado,
185,10/10/2020,12:38:25,FGL430,FGL43D,Aprobado,
186,10/10/2020,12:53:31,NOPLACA,YDA15D,Aprobado,
187,10/10/2020,12:57:51,JPH763,JPH763,Aprobado,
188,10/10/2020,1:21:31,GDB501,GDB501,Aprobado,
189,10/10/2020,1:25:41,BXZ15E,BXZ15F,Aprobado,
190,10/10/2020,1:34:06,LZZ863,LZZ863,Aprobado,
191,10/10/2020,1:50:04,ARR42F,AAR42F,Aprobado,
192,10/10/2020,1:58:07,EWT71F,EWT71F,Aprobado,
193,10/10/2020,2:04:30,ESR055,ESR055,Aprobado,
194,10/10/2020,2:07:08,FHM773,FHM773,Aprobado,
195,10/10/2020,2:08:33,MYY83E,MYY83E,Aprobado,
196,10/10/2020,2:11:28,DHB090,DHB090,Aprobado,
197,10/10/2020,2:26:41,NOPLACA,HRR27E,Aprobado,
198,10/10/2020,2:30:36,WCL310,WCL310,Aprobado,
199,10/10/2020,2:32:38,IEE084,IEE084,Aprobado,
200,10/10/2020,2:36:22,NOPLACA,FBC27C,Aprobado,
201,10/10/2020,2:41:50,VSG46D,VSG46D,Aprobado,
202,10/10/2020,2:54:09,NOPLACA,KZK92B,Aprobado,
203,10/10/2020,2:54:36,NOPLACA,HZN582,Aprobado,
204,10/10/2020,3:03:20,MMC806,MMC806,Aprobado,
205,10/10/2020,3:09:17,ZWG45D,ZWG45D,Aprobado,
206,10/10/2020,3:12:01,MJO298,MJO298,Aprobado,
207,10/10/2020,3:20:48,NOPLACA,LQK77B,Aprobado,
208,10/10/2020,3:21:14,IHH211,IHH211,Aprobado,
209,10/10/2020,3:22:24,TID149,TID149,Aprobado,
210,10/10/2020,3:25:05,JKF63F,JKF63F,Aprobado,
211,10/10/2020,3:32:36,XVF269,XVF269,Aprobado,
212,10/10/2020,3:38:45,MMT354,MMT354,Aprobado,
213,10/10/2020,3:42:53,IHN23F,IHN23F,Aprobado,
214,10/10/2020,3:50:39,CVB986,CVB986,Aprobado,
215,10/10/2020,4:01:33,MLB996,MLB996,Aprobado,
216,10/10/2020,4:03:52,KVF14F,KVF14F,Aprobado,
217,10/10/2020,4:04:03,STD500,STD500,Aprobado,
218,10/10/2020,4:10:37,HAH78D,HAH78D,Aprobado,
219,10/10/2020,4:15:44,FXI971,FXI971,Aprobado,
220,10/10/2020,4:47:57,QQC26E,QQC26E,Aprobado,
221,10/10/2020,4:55:31,KAK004,KAK004,Aprobado,
222,10/10/2020,4:56:37,ENA504,ENA504,Aprobado,
223,10/10/2020,4:57:55,NOPLACA,,Rechazado,PLACA CUBIERTA
224,10/10/2020,5:18:40,TQC36E,TQC36E,Aprobado,
225,10/10/2020,5:24:05,LUM04F,LUM04F,Aprobado,
226,10/10/2020,5:25:09,HHI13E,HHI13E,Aprobado,
227,10/10/2020,5:26:30,ATB27D,ATB27D,Aprobado,
228,10/10/2020,5:28:24,VUZ95D,VUZ95D,Aprobado,
229,10/10/2020,5:39:03,FAM028,FAM028,Aprobado,
230,10/10/2020,5:49:54,NOPLACA,FCC370,Aprobado,
231,10/10/2020,5:52:57,LTX83F,LTX83F,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
232,10/10/2020,5:59:03,BGK54E,BGK54E,Aprobado,
233,10/10/2020,6:12:03,AHV91F,AHV91F,Aprobado,
234,10/10/2020,6:13:29,NOPLACA,,Rechazado,PLACA CUBIERTA
235,10/10/2020,6:27:01,IRB45B,IRB45B,Aprobado,
236,10/10/2020,6:38:13,FFY98F,FFY98F,Aprobado,
237,10/10/2020,6:44:20,SNB678,SNB678,Aprobado,
238,10/10/2020,6:45:51,IRP64F,IRP64F,Aprobado,
239,10/10/2020,6:47:18,ZMF03C,ZMF03C,Aprobado,
240,10/10/2020,6:49:03,YBD86E,YBD86E,Aprobado,
241,10/10/2020,7:20:53,EVF834,EVF834,Aprobado,
242,10/10/2020,7:25:19,NOPLACA,,Rechazado,PLACA CUBIERTA
243,10/10/2020,7:45:19,WGH75E,WGH75E,Aprobado,
244,10/10/2020,8:01:47,ESW38F,ESW38F,Aprobado,
245,10/10/2020,8:32:32,DLC114,DLC114,Aprobado,
246,10/10/2020,8:45:14,NZD67C,NZD67C,Aprobado,
247,10/10/2020,8:52:07,ZUO14E,ZUO14E,Aprobado,
248,10/10/2020,8:57:18,ZUD26E,ZUD26E,Aprobado,
249,10/10/2020,9:41:01,JBK608,JBK608,Aprobado,
250,10/10/2020,9:51:05,LLG88E,LLG88E,Aprobado,
251,10/10/2020,10:00:55,QDR09B,QDR09B,Aprobado,
252,10/10/2020,11:20:01,NOPLACA,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
253,10/10/2020,11:24:36,MMX90B,MMX90B,Aprobado,
254,10/10/2020,11:29:09,NOPLACA,,Rechazado,PLACA CUBIERTA
255,10/10/2020,11:55:59,ZUD26E,ZUD26E,Aprobado,
256,11/10/2020,12:08:32,HZO509,HZO509,Aprobado,
257,11/10/2020,12:29:05,JJP511,JJP511,Aprobado,
258,11/10/2020,12:44:37,DZP619,DZP619,Aprobado,
259,11/10/2020,1:06:39,FXR140,FXR140,Aprobado,
260,11/10/2020,1:16:52,TNV598,TNV598,Aprobado,
261,11/10/2020,1:22:54,NOPLACA,,Rechazado,EXCESO DE ILUMINACIÓN POR FACTORES EXTERNOS
262,11/10/2020,1:30:44,DLN012,DLN012,Aprobado,
263,11/10/2020,1:38:29,TPE352,TPE352,Aprobado,
264,11/10/2020,1:46:39,GPG750,GPG750,Aprobado,
265,11/10/2020,2:30:14,CPV101,CPV10,Aprobado,
266,11/10/2020,3:05:13,MGG471,MGG471,Aprobado,
267,11/10/2020,4:23:26,TSS448,TSS448,Aprobado,
268,11/10/2020,4:27:03,WRI37D,WRI37D,Aprobado,
269,11/10/2020,5:54:42,FUV957,FUV957,Aprobado,
270,11/10/2020,6:33:09,DDA253,DOA253,Aprobado,
271,11/10/2020,6:34:24,NOPLACA,,Rechazado,PLACA CUBIERTA
272,11/10/2020,6:54:54,EJO85B,EJO85B,Aprobado,
273,11/10/2020,7:11:17,FOF634,FQF634,Aprobado,
274,11/10/2020,7:24:22,KHQ127,KHQ127,Aprobado,
275,11/10/2020,7:27:25,FSB45B,FSB45B,Aprobado,
276,11/10/2020,7:38:38,TNT467,TNT467,Aprobado,
277,11/10/2020,7:49:01,NOPLACA,VDR052,Aprobado,
278,11/10/2020,8:49:00,PTD322,DTD322,Aprobado,
279,11/10/2020,9:04:47,NOPLACA,,Rechazado,PLACA CUBIERTA
280,11/10/2020,9:19:19,FHT234,FHT234,Aprobado,
281,11/10/2020,9:28:42,OKV555,OKV555,Aprobado,
282,11/10/2020,9:35:45,FFX41F,FFX41F,Aprobado,
283,11/10/2020,9:38:59,EKK801,EKK801,Aprobado,
284,11/10/2020,9:53:00,CUI979,CUI979,Aprobado,
285,11/10/2020,10:07:14,DKF949,DKF949,Aprobado,
286,11/10/2020,10:07:51,BWU562,BWU562,Aprobado,
287,11/10/2020,10:12:34,IVF642,IVF642,Aprobado,
288,11/10/2020,10:13:29,FHL288,FHL288,Aprobado,
289,11/10/2020,10:17:44,RKM19A,RKM19A,Aprobado,
290,11/10/2020,10:23:29,NOPLACA,,Rechazado,INTERFERENCIA FÍSICA
291,11/10/2020,10:29:18,FXA78E,FXA78E,Aprobado,
292,11/10/2020,10:33:40,LUY41F,LUY41F,Aprobado,
293,11/10/2020,10:48:48,TMB432,TMB432,Aprobado,
294,11/10/2020,10:48:57,KKV82D,KKV82D,Aprobado,
295,11/10/2020,11:07:42,JJP549,JJP549,Aprobado,
296,11/10/2020,11:11:07,IAI111,IAI111,Aprobado,
297,11/10/2020,11:27:09,GJM763,GJM763,Aprobado,
298,11/10/2020,11:53:15,TRP509,TRP509,Aprobado,
299,11/10/2020,11:56:41,GFD17C,GFD17C,Aprobado,
300,11/10/2020,11:58:15,NWH41D,NWH41D,Aprobado,
301,11/10/2020,12:11:42,SIN149,SIN149,Aprobado,
302,11/10/2020,12:32:21,MNW421,MNW421,Aprobado,
303,11/10/2020,12:41:55,SME095,SME095,Aprobado,
304,11/10/2020,12:50:03,QFP492,QFP492,Aprobado,
305,11/10/2020,12:56:48,JKL69F,JKI69F,Aprobado,
306,11/10/2020,1:12:32,NOPLACA,FMZ83D,Aprobado,
307,11/10/2020,1:24:04,KDL924,KDL924,Aprobado,
308,11/10/2020,1:27:07,NML54E,NML54E,Aprobado,
309,11/10/2020,1:46:21,SKE20D,SKE20D,Aprobado,
310,11/10/2020,1:52:45,IAL099,IAL099,Aprobado,
311,11/10/2020,1:57:38,VHH35D,VHH35D,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
312,11/10/2020,2:08:14,EGR106,EGR106,Aprobado,
313,11/10/2020,2:10:46,FYR998,FYR998,Aprobado,
314,11/10/2020,2:10:48,NOPLACA,,Rechazado,PLACA CUBIERTA
315,11/10/2020,2:16:05,MEE660,MEE660,Aprobado,
316,11/10/2020,2:18:21,NOPLACA,,,
317,11/10/2020,2:20:31,NOPLACA,,,
318,11/10/2020,2:49:40,HSW416,HSW416,Aprobado,
319,11/10/2020,2:51:17,SMF539,SMF539,Aprobado,
320,11/10/2020,2:51:36,STE113,STE113,Aprobado,
321,11/10/2020,3:06:43,COR56E,CQR56E,Aprobado,
322,11/10/2020,3:09:28,CCN25D,CCN25D,Aprobado,
323,11/10/2020,3:22:20,WMK836,WMK836,Aprobado,
324,11/10/2020,3:29:53,JJP549,JJP549,Aprobado,
325,11/10/2020,3:34:56,MFA604,MFA604,Aprobado,
326,11/10/2020,3:56:41,EKK014,EKK014,Aprobado,
327,11/10/2020,4:02:56,WBL89C,WBI89C,Aprobado,
328,11/10/2020,4:11:26,ZYR978,ZYR978,Aprobado,
329,11/10/2020,4:16:45,NOPLACA,,Rechazado,PLACA ILEGIBLE
330,11/10/2020,4:20:13,ATV839,ATV839,Aprobado,
331,11/10/2020,4:24:07,GHB558,GHB558,Aprobado,
332,11/10/2020,4:26:24,STE90D,STE90D,Aprobado,
333,11/10/2020,4:35:20,EXF457,EXF457,Aprobado,
334,11/10/2020,4:37:57,WGF64E,WGF64E,Aprobado,
335,11/10/2020,4:39:53,MSL73C,MSL73C,Aprobado,
336,11/10/2020,4:44:54,EWM040,EWM040,Aprobado,
337,11/10/2020,4:50:29,KHK733,KHK733,Aprobado,
338,11/10/2020,4:52:25,KEX59F,KEX59F,Aprobado,
339,11/10/2020,4:56:28,HYD353,HYD353,Aprobado,
340,11/10/2020,5:12:07,JHH299,JHH299,Aprobado,
341,11/10/2020,5:14:08,TTM098,TTM098,Aprobado,
342,11/10/2020,5:18:41,MFR76F,MFR76F,Aprobado,
343,11/10/2020,5:20:34,LHH19F,LHH19F,Aprobado,
344,11/10/2020,5:20:55,TSP053,TSP053,Aprobado,
345,11/10/2020,5:48:51,DBB17F,DBB17F,Aprobado,
346,11/10/2020,6:04:21,JDP363,JDP363,Aprobado,
347,11/10/2020,6:15:09,NOPLACA,,Rechazado,VEHÍCULO SIN PLACA
348,11/10/2020,6:28:34,NOPLACA,,Rechazado,PLACA CUBIERTA
349,11/10/2020,6:39:02,GGA47C,GGA47C,Aprobado,
350,11/10/2020,6:51:41,MNU103,MNU103,Aprobado,
351,11/10/2020,7:28:53,NOPLACA,HUX76B,Aprobado,
352,11/10/2020,7:57:47,ESI905,ESI905,Aprobado,
353,11/10/2020,8:27:11,ZYT430,ZYT43D,Aprobado,
354,11/10/2020,8:47:00,FBG055,FBG055,Aprobado,
355,11/10/2020,9:02:45,GHC734,GHC734,Aprobado,
356,11/10/2020,9:20:42,ZRB31E,ZRB31E,Aprobado,
357,11/10/2020,9:30:03,NOPLACA,,Rechazado,PLACA CUBIERTA
358,11/10/2020,10:09:21,INK246,INK246,Aprobado,
359,11/10/2020,10:39:16,BDK149,BDK149,Aprobado,
360,11/10/2020,11:47:54,JKN786,JKN786,Aprobado,
361,12/10/2020,1:09:51,RKD790,RKD790,Aprobado,
362,12/10/2020,2:06:48,MNK421,MNK421,Aprobado,
363,12/10/2020,3:11:14,NOPLACA,,Rechazado,PLACA CUBIERTA
364,12/10/2020,4:00:32,STX036,,Rechazado,EXCESO DE ILUMINACIÓN POR FACTORES EXTERNOS
365,12/10/2020,4:28:39,NOPLACA,,Rechazado,PLACA ILEGIBLE
366,12/10/2020,4:46:41,TSU693,TSU693,Aprobado,
367,12/10/2020,4:55:14,XRX688,XRX688,Aprobado,
368,12/10/2020,5:18:42,WNB750,WNB75C,Aprobado,
369,12/10/2020,5:38:49,WBW47F,WBW47F,Aprobado,
370,12/10/2020,6:04:19,NOPLACA,,Rechazado,FORMATO DE PLACA NO CUMPLE
371,12/10/2020,6:14:51,GHD857,GHD857,Aprobado,
372,12/10/2020,6:29:41,SMF242,SMF242,Aprobado,
373,12/10/2020,6:41:00,AQQ893,AQQ893,Aprobado,
374,12/10/2020,6:52:45,KHK719,KHK719,Aprobado,
375,12/10/2020,7:02:19,KDZ452,KDZ452,Aprobado,
376,12/10/2020,7:26:07,NOPLACA,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
377,12/10/2020,7:26:10,FOC056,FQC056,Aprobado,
378,12/10/2020,7:35:32,NOPLACA,WRW19W,Aprobado,
379,12/10/2020,7:40:47,EPG930,EPG930,Aprobado,
380,12/10/2020,7:51:14,LIG22B,LIG22B,Aprobado,
381,12/10/2020,8:05:34,CDD421,CDD421,Aprobado,
382,12/10/2020,8:26:48,NOPLACA,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
383,12/10/2020,8:28:14,JCK343,JCK343,Aprobado,
384,12/10/2020,8:37:07,ESI725,ESI725,Aprobado,
385,12/10/2020,8:44:17,ZGG17D,ZGG17D,Aprobado,
386,12/10/2020,8:48:30,GEO361,GEO361,Aprobado,
387,12/10/2020,8:54:27,KHD20D,KHD20D,Aprobado,
388,12/10/2020,9:10:05,END429,END429,Aprobado,
389,12/10/2020,9:10:13,IRC16B,IRC16B,Aprobado,
390,12/10/2020,9:10:16,RDZ07E,RDZ07E,Aprobado,
391,12/10/2020,9:20:57,OME70D,QME70D,Aprobado,
392,12/10/2020,9:25:17,MOK262,MOK262,Aprobado,
393,12/10/2020,9:25:41,AQY02F,AQY02F,Aprobado,
