,FECHA,HORA,PLACA_DETECTADA,PLACA_CORREGIDA,ESTADO,MOTIVO DE RECHAZO
0,9/10/2020,10:27:39,ALQ84D,ALQ84D,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
1,9/10/2020,10:33:37,FOD613,FQD613,Aprobado,
2,9/10/2020,10:37:56,ZFR09A,ZFR09A,Aprobado,
3,9/10/2020,10:42:47,SSX18D,SSX18D,Aprobado,
4,9/10/2020,11:04:04,KHR743,KHR713,Aprobado,
5,9/10/2020,11:06:35,ETN287,EMG287,Aprobado,
6,9/10/2020,11:08:42,OMS12E,DMS12E,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
7,9/10/2020,11:22:03,SNC524,SNC524,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
8,9/10/2020,11:24:00,JVV49V,JVV49V,Aprobado,
9,9/10/2020,11:25:58,MTD980,MTD980,Aprobado,
10,9/10/2020,11:30:50,TMF016,TMF016,Aprobado,
11,9/10/2020,11:36:45,PFS761,PFS761,Aprobado,
12,9/10/2020,11:39:47,EHM193,EHM193,Aprobado,
13,9/10/2020,12:07:10,DHZ45F,DHZ45F,Aprobado,
14,9/10/2020,12:21:01,SNB047,SNB047,Aprobado,
15,9/10/2020,12:55:46,GDB354,GDB354,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
16,9/10/2020,12:59:20,RSR96E,RSR95E,Aprobado,
17,9/10/2020,13:01:55,STA482,STA482,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
18,9/10/2020,13:08:08,PEG313,PEG313,Aprobado,
19,9/10/2020,13:08:09,GDB330,GDB330,Rechazado,VARIOS VEHÍCULOS SOBRE EL CARRIL
20,9/10/2020,13:12:15,RVP02B,RVP02B,Aprobado,
21,10/10/2020,6:15:01,PEM68B,PEM68B,Aprobado,
22,10/10/2020,8:29:58,AWT411,AMT47D,Aprobado,
23,10/10/2020,8:31:29,FAO213,FAO213,Aprobado,
